question,cue,feat_type,correct_response,proposition_id
Does it have a beak?,apple,visual,no,apple:visual:no:3
Does it have a hood?,apple,visual,no,apple:visual:no:4
Does it have eyes?,apple,visual,no,apple:visual:no:5
Is it a fruit?,banana,nonvisual,yes,banana:nonvisual:yes:1
Does it taste good?,banana,nonvisual,yes,banana:nonvisual:yes:2
Does it grow in tropical climates?,banana,nonvisual,yes,banana:nonvisual:yes:3
Is it healthy?,banana,nonvisual,yes,banana:nonvisual:yes:4
Is it yellow?,banana,visual,yes,banana:visual:yes:1
Is it long?,banana,visual,yes,banana:visual:yes:2
Does it have a peel?,banana,visual,yes,banana:visual:yes:3
Does it have a skin?,banana,visual,yes,banana:visual:yes:4
Is it fast?,banana,nonvisual,no,banana:nonvisual:no:1
Is it worn in cold temperatures?,banana,nonvisual,no,banana:nonvisual:no:2
Does it have different speeds?,banana,nonvisual,no,banana:nonvisual:no:3
Is it a container?,banana,nonvisual,no,banana:nonvisual:no:4
Does it have feathers?,banana,visual,no,banana:visual:no:1
Does it have a tail?,banana,visual,no,banana:visual:no:2
Does it have a beak?,banana,visual,no,banana:visual:no:3
Does it have hooves?,banana,visual,no,banana:visual:no:4
Is is used for riding?,bike,nonvisual,yes,bike:nonvisual:yes:1
Is it used for racing?,bike,nonvisual,yes,bike:nonvisual:yes:2
Does it have different speeds?,bike,nonvisual,yes,bike:nonvisual:yes:3
Is it fast?,bike,nonvisual,yes,bike:nonvisual:yes:4
Does it have handle bars?,bike,visual,yes,bike:visual:yes:1
Does it have a seat?,bike,visual,yes,bike:visual:yes:2
Does it have gears?,bike,visual,yes,bike:visual:yes:3
Is it made of metal?,bike,visual,yes,bike:visual:yes:4
Does it live in Africa?,bike,nonvisual,no,bike:nonvisual:no:1
Is it nocturnal?,bike,nonvisual,no,bike:nonvisual:no:2
Is it a mammal?,bike,nonvisual,no,bike:nonvisual:no:3
Is it found at tables?,bike,nonvisual,no,bike:nonvisual:no:4
Does it have legs?,bike,visual,no,bike:visual:no:1
Is it made of plastic?,bike,visual,no,bike:visual:no:2
Does it have feet?,bike,visual,no,bike:visual:no:3
Does it have sleeves?,bike,visual,no,bike:visual:no:4
Is it used for holding things?,bottle,nonvisual,yes,bottle:nonvisual:yes:1
Is it used for holding liquids?,bottle,nonvisual,yes,bottle:nonvisual:yes:2
Is it a container?,bottle,nonvisual,yes,bottle:nonvisual:yes:3
Is it breakable?,bottle,nonvisual,yes,bottle:nonvisual:yes:4
Is it used for holding beer?,bottle,nonvisual,yes,bottle:nonvisual:yes:5
Is it made of glass?,bottle,visual,yes,bottle:visual:yes:1
Is it made of plastic?,bottle,visual,yes,bottle:visual:yes:2
Does it have a neck?,bottle,visual,yes,bottle:visual:yes:4
Does it have a cork?,bottle,visual,no,bottle:visual:no:6
Is it an animal?,bottle,nonvisual,no,bottle:nonvisual:no:1
Is it juicy?,bottle,nonvisual,no,bottle:nonvisual:no:2
Is it a carnivore?,bottle,nonvisual,no,bottle:nonvisual:no:3
Does it fly?,bottle,nonvisual,no,bottle:nonvisual:no:4
Is it an amphibian?,bottle,nonvisual,no,bottle:nonvisual:no:5
Does it have feet?,bottle,visual,no,bottle:visual:no:1
Does it have seeds?,bottle,visual,no,bottle:visual:no:2
Does it have armrests?,bottle,visual,no,bottle:visual:no:3
Does it have eyes?,bottle,visual,no,bottle:visual:no:4
Does it have teeth?,bottle,visual,no,bottle:visual:no:5
Does it live in the desert?,camel,nonvisual,yes,camel:nonvisual:yes:1
Does it drink water?,camel,nonvisual,yes,camel:nonvisual:yes:2
Is it used by riding?,camel,nonvisual,yes,camel:nonvisual:yes:3
Is it a mammal?,camel,nonvisual,yes,camel:nonvisual:yes:4
Does it spit?,camel,nonvisual,yes,camel:nonvisual:yes:5
Does it have a hump?,camel,visual,yes,camel:visual:yes:1
Is it brown?,camel,visual,yes,camel:visual:yes:2
Does it have legs?,camel,visual,yes,camel:visual:yes:3
Is it large?,camel,visual,yes,camel:visual:yes:4
Is it beige?,camel,visual,yes,camel:visual:yes:5
Is it a bird?,camel,nonvisual,no,camel:nonvisual:no:1
Is it graceful?,camel,nonvisual,no,camel:nonvisual:no:2
Does it eat?,camel,nonvisual,yes,camel:nonvisual:yes:6
Does it live on a farm?,camel,nonvisual,no,camel:nonvisual:no:4
Does it live in a coop?,camel,nonvisual,no,camel:nonvisual:no:5
Does it have stripes?,camel,visual,no,camel:visual:no:1
Does it have seeds?,camel,visual,no,camel:visual:no:2
Does it have whiskers?,camel,visual,no,camel:visual:no:3
Does it have a cork?,camel,visual,no,camel:visual:no:4
Does it have green leaves?,camel,visual,no,camel:visual:no:5
Is it a vegetable?,carrot,nonvisual,yes,carrot:nonvisual:yes:1
Is it eaten by rabbits?,carrot,nonvisual,yes,carrot:nonvisual:yes:2
Does it grow underground?,carrot,nonvisual,yes,carrot:nonvisual:yes:3
Is it a root?,carrot,nonvisual,yes,carrot:nonvisual:yes:4
Is it orange?,carrot,visual,yes,carrot:visual:yes:1
Does it have a top?,carrot,visual,yes,carrot:visual:yes:2
Is it long?,carrot,visual,yes,carrot:visual:yes:3
Does it have a pointed end?,carrot,visual,yes,carrot:visual:yes:4
Is it used for holding things?,carrot,nonvisual,no,carrot:nonvisual:no:1
Does it live in swamps?,carrot,nonvisual,no,carrot:nonvisual:no:2
Does it live in Africa?,carrot,nonvisual,no,carrot:nonvisual:no:3
Is it an animal?,carrot,nonvisual,no,carrot:nonvisual:no:4
Is it brown?,carrot,visual,no,carrot:visual:no:1
Does it have four legs?,carrot,visual,no,carrot:visual:no:2
Does it have many cars?,carrot,visual,no,carrot:visual:no:3
Does it have wings?,carrot,visual,no,carrot:visual:no:4
Is it used for sitting on?,chair,nonvisual,yes,chair:nonvisual:yes:1
Is it furniture?,chair,nonvisual,yes,chair:nonvisual:yes:2
Is it comfortable?,chair,nonvisual,yes,chair:nonvisual:yes:3
Is it used for relaxing?,chair,nonvisual,yes,chair:nonvisual:yes:4
Is it found at tables?,chair,nonvisual,yes,chair:nonvisual:yes:5
Does it have legs?,chair,visual,yes,chair:visual:yes:1
Is it made of wood?,chair,visual,yes,chair:visual:yes:2
Does it have armrests?,chair,visual,yes,chair:visual:yes:3
Does it have a seat?,chair,visual,yes,chair:visual:yes:4
Is it a fruit?,chair,nonvisual,no,chair:nonvisual:no:1
Is it nutritious?,chair,nonvisual,no,chair:nonvisual:no:2
Is it a root?,chair,nonvisual,no,chair:nonvisual:no:3
Is it used in circuses?,chair,nonvisual,yes,chair:nonvisual:yes:6
Is it an animal?,chair,nonvisual,no,chair:nonvisual:no:5
Is it long?,chair,visual,no,chair:visual:no:1
Does it have a tail?,chair,visual,no,chair:visual:no:2
Does it have a snout?,chair,visual,no,chair:visual:no:3
Is it orange?,chair,visual,no,chair:visual:no:4
Does it have a tail?,chair,visual,no,chair:visual:no:5
Does it lay eggs?,chicken,nonvisual,yes,chicken:nonvisual:yes:1
Does it live on a farm?,chicken,nonvisual,yes,chicken:nonvisual:yes:2
Does it eat grain?,chicken,nonvisual,yes,chicken:nonvisual:yes:3
Is it eaten by frying?,chicken,nonvisual,yes,chicken:nonvisual:yes:4
Does it live in a coop?,chicken,nonvisual,yes,chicken:nonvisual:yes:5
Does it have feathers?,chicken,visual,yes,chicken:visual:yes:1
Does it have wings?,chicken,visual,yes,chicken:visual:yes:2
Does it have a beak?,chicken,visual,yes,chicken:visual:yes:3
Does it have legs?,chicken,visual,yes,chicken:visual:yes:4
Is it used for holding liquids?,chicken,nonvisual,no,chicken:nonvisual:no:1
Is it a mammal?,chicken,nonvisual,no,chicken:nonvisual:no:2
Is it used for making jam?,chicken,nonvisual,no,chicken:nonvisual:no:3
Is it worn for the rain?,chicken,nonvisual,no,chicken:nonvisual:no:4
Is it comfortable?,chicken,nonvisual,no,chicken:nonvisual:no:5
Is it orange?,chicken,visual,no,chicken:visual:no:1
Is it yellow?,chicken,visual,no,chicken:visual:no:2
Does it have hooves?,chicken,visual,no,chicken:visual:no:3
Does it have four legs?,chicken,visual,no,chicken:visual:no:4
Is it hunted by people?,deer,nonvisual,yes,deer:nonvisual:yes:1
Is it fast?,deer,nonvisual,yes,deer:nonvisual:yes:2
Is it a mammal?,deer,nonvisual,yes,deer:nonvisual:yes:3
Is it an herbivore?,deer,nonvisual,yes,deer:nonvisual:yes:4
Is it timid?,deer,nonvisual,yes,deer:nonvisual:yes:5
Does it have antlers?,deer,visual,yes,deer:visual:yes:1
Does it have four legs?,deer,visual,yes,deer:visual:yes:2
Does it have eyes?,deer,visual,yes,deer:visual:yes:3
Does it have hooves?,deer,visual,yes,deer:visual:yes:4
Does it have a white tail?,deer,visual,yes,deer:visual:yes:5
Does it live in zoos?,deer,nonvisual,no,deer:nonvisual:no:1
Is it smelly?,deer,nonvisual,no,deer:nonvisual:no:2
Is it loud?,deer,nonvisual,no,deer:nonvisual:no:3
Does it eat people?,deer,nonvisual,no,deer:nonvisual:no:4
Is it used for cider?,deer,nonvisual,no,deer:nonvisual:no:5
Is it yellow?,deer,visual,no,deer:visual:no:1
Is it green?,deer,visual,no,deer:visual:no:2
Does it have a lid?,deer,visual,no,deer:visual:no:3
Does it have a cushion?,deer,visual,no,deer:visual:no:4
Does it have large teeth?,deer,visual,no,deer:visual:no:5
Does it bark?,dog,nonvisual,yes,dog:nonvisual:yes:1
Is it an animal?,dog,nonvisual,yes,dog:nonvisual:yes:2
Is it a pet?,dog,nonvisual,yes,dog:nonvisual:yes:3
Is it used for protection?,dog,nonvisual,yes,dog:nonvisual:yes:4
Does it chase cats?,dog,nonvisual,yes,dog:nonvisual:yes:5
Does it have four legs?,dog,visual,yes,dog:visual:yes:1
Does it have legs?,dog,visual,yes,dog:visual:yes:2
Does it have a tail?,dog,visual,yes,dog:visual:yes:3
Does it have hair?,dog,visual,yes,dog:visual:yes:4
Does it have a nose?,dog,visual,yes,dog:visual:yes:5
Does it hop?,dog,nonvisual,no,dog:nonvisual:no:1
Is it eaten in pies?,dog,nonvisual,no,dog:nonvisual:no:2
Is it eaten as bacon?,dog,nonvisual,no,dog:nonvisual:no:3
Is it prickly?,dog,nonvisual,no,dog:nonvisual:no:4
Does it lay eggs?,dog,nonvisual,no,dog:nonvisual:no:5
Does it have antlers?,dog,visual,no,dog:visual:no:1
Is it pink?,dog,visual,no,dog:visual:no:2
Does it have a caboose?,dog,visual,no,dog:visual:no:3
Does it have a top?,dog,visual,yes,dog:visual:yes:6
Does it have a mask?,dog,visual,no,dog:visual:no:5
Is it an animal?,donkey,nonvisual,yes,donkey:nonvisual:yes:1
Is it like a horse?,donkey,nonvisual,yes,donkey:nonvisual:yes:2
Is it a mammal?,donkey,nonvisual,yes,donkey:nonvisual:yes:3
Is it furry?,donkey,nonvisual,yes,donkey:nonvisual:yes:4
Does it make noises?,donkey,nonvisual,yes,donkey:nonvisual:yes:5
Does it have legs?,donkey,visual,yes,donkey:visual:yes:1
Does it have four legs?,donkey,visual,yes,donkey:visual:yes:2
Does it have a tail?,donkey,visual,yes,donkey:visual:yes:3
Does it have hooves?,donkey,visual,yes,donkey:visual:yes:4
Does it lay eggs?,donkey,nonvisual,no,donkey:nonvisual:no:1
Does it grow on trees?,donkey,nonvisual,no,donkey:nonvisual:no:2
Is it furniture?,donkey,nonvisual,no,donkey:nonvisual:no:3
Does it chase cats?,donkey,nonvisual,no,donkey:nonvisual:no:4
Is it round?,donkey,visual,no,donkey:visual:no:1
Does it have a pointed end?,donkey,visual,no,donkey:visual:no:2
Does it have stripes?,donkey,visual,no,donkey:visual:no:3
Is it small?,donkey,visual,no,donkey:visual:no:4
Is it an animal?,elephant,nonvisual,yes,elephant:nonvisual:yes:1
Does it live in Africa?,elephant,nonvisual,yes,elephant:nonvisual:yes:2
Does it live in zoos?,elephant,nonvisual,yes,elephant:nonvisual:yes:3
Is it used in circuses?,elephant,nonvisual,yes,elephant:nonvisual:yes:4
Does it eat peanuts?,elephant,nonvisual,yes,elephant:nonvisual:yes:5
Is it grey?,elephant,visual,yes,elephant:visual:yes:1
Does it have ears?,elephant,visual,yes,elephant:visual:yes:2
Does it have four legs?,elephant,visual,yes,elephant:visual:yes:3
Does it have a tail?,elephant,visual,yes,elephant:visual:yes:4
Does it have large ears?,elephant,visual,yes,elephant:visual:yes:5
Is it a rodent?,elephant,nonvisual,no,elephant:nonvisual:no:1
Is it a reptile?,elephant,nonvisual,no,elephant:nonvisual:no:2
Does it live on farms?,elephant,nonvisual,no,elephant:nonvisual:no:3
Is it furry?,elephant,nonvisual,no,elephant:nonvisual:no:4
Does it lay eggs?,elephant,nonvisual,no,elephant:nonvisual:no:5
Is it made of wood?,elephant,visual,no,elephant:visual:no:1
Does it have scales?,elephant,visual,no,elephant:visual:no:2
Is it beige?,elephant,visual,no,elephant:visual:no:3
Does it have fur?,elephant,visual,no,elephant:visual:no:4
Does it have hooves?,elephant,visual,no,elephant:visual:no:5
Does it eat leaves?,giraffe,nonvisual,yes,giraffe:nonvisual:yes:1
Does it live in Africa?,giraffe,nonvisual,yes,giraffe:nonvisual:yes:2
Does it live in zoos?,giraffe,nonvisual,yes,giraffe:nonvisual:yes:3
Is it a mammal?,giraffe,nonvisual,yes,giraffe:nonvisual:yes:4
Does it have spots?,giraffe,visual,yes,giraffe:visual:yes:1
Is it tall?,giraffe,visual,yes,giraffe:visual:yes:2
Does it have long legs?,giraffe,visual,yes,giraffe:visual:yes:3
Is it brown?,giraffe,visual,yes,giraffe:visual:yes:4
Is it eaten by frying?,giraffe,nonvisual,no,giraffe:nonvisual:no:1
Is it hunted by people?,giraffe,nonvisual,no,giraffe:nonvisual:no:2
Does it live in grass?,giraffe,nonvisual,yes,giraffe:nonvisual:yes:5
Is it an insect?,giraffe,nonvisual,no,giraffe:nonvisual:no:4
Is it green?,giraffe,visual,no,giraffe:visual:no:1
Does it have warts?,giraffe,visual,no,giraffe:visual:no:2
Is it muddy?,giraffe,visual,no,giraffe:visual:no:3
Does it have antennae?,giraffe,visual,no,giraffe:visual:no:4
Is it an insect?,grasshopper,nonvisual,yes,grasshopper:nonvisual:yes:1
Does it live in grass?,grasshopper,nonvisual,yes,grasshopper:nonvisual:yes:2
Is it found in summer?,grasshopper,nonvisual,yes,grasshopper:nonvisual:yes:3
Does it fly?,grasshopper,nonvisual,no,grasshopper:nonvisual:no:4
Is it green?,grasshopper,visual,yes,grasshopper:visual:yes:1
Does it have legs?,grasshopper,visual,yes,grasshopper:visual:yes:2
Does it have long legs?,grasshopper,visual,no,grasshopper:visual:no:5
Does it have antennae?,grasshopper,visual,yes,grasshopper:visual:yes:4
Does it require a conductor?,grasshopper,nonvisual,no,grasshopper:nonvisual:no:1
Is it hunted by people?,grasshopper,nonvisual,no,grasshopper:nonvisual:no:2
Does it taste good?,grasshopper,nonvisual,no,grasshopper:nonvisual:no:3
Is it made of wood?,grasshopper,visual,no,grasshopper:visual:no:1
Does it have teeth?,grasshopper,visual,no,grasshopper:visual:no:2
Does it have an engine?,grasshopper,visual,no,grasshopper:visual:no:3
Is it long?,grasshopper,visual,no,grasshopper:visual:no:4
Is it clothing?,jacket,nonvisual,yes,jacket:nonvisual:yes:1
Is it worn in cold temperatures?,jacket,nonvisual,yes,jacket:nonvisual:yes:2
Is it worn in winter?,jacket,nonvisual,yes,jacket:nonvisual:yes:3
Is it worn for the rain?,jacket,nonvisual,yes,jacket:nonvisual:yes:4
Does it have a zipper?,jacket,visual,yes,jacket:visual:yes:1
Does it have pockets?,jacket,visual,yes,jacket:visual:yes:2
Does it have a hood?,jacket,visual,yes,jacket:visual:yes:3
Does it have sleeves?,jacket,visual,yes,jacket:visual:yes:4
Is it a vegetable?,jacket,nonvisual,no,jacket:nonvisual:no:1
Does it eat leaves?,jacket,nonvisual,no,jacket:nonvisual:no:2
Is it an animal?,jacket,nonvisual,no,jacket:nonvisual:no:3
Does it live in Africa?,jacket,nonvisual,no,jacket:nonvisual:no:4
Does it have ears?,jacket,visual,no,jacket:visual:no:1
Is it tall?,jacket,visual,no,jacket:visual:no:3
Does it have hair?,jacket,visual,no,jacket:visual:no:4
Is it an animal?,lion,nonvisual,yes,lion:nonvisual:yes:1
Is it a carnivore?,lion,nonvisual,yes,lion:nonvisual:yes:2
Is it a mammal?,lion,nonvisual,yes,lion:nonvisual:yes:3
Does it live in jungles?,lion,nonvisual,yes,lion:nonvisual:yes:4
Does it roar?,lion,nonvisual,yes,lion:nonvisual:yes:5
Does it have a mane?,lion,visual,yes,lion:visual:yes:1
Does it have fur?,lion,visual,yes,lion:visual:yes:2
Does it have a tail?,lion,visual,yes,lion:visual:yes:3
Does it have teeth?,lion,visual,yes,lion:visual:yes:4
Is it found in kitchens?,lion,nonvisual,no,lion:nonvisual:no:1
Does it eat cheese?,lion,nonvisual,no,lion:nonvisual:no:2
Does it waddle?,lion,nonvisual,no,lion:nonvisual:no:3
Does it lay eggs?,lion,nonvisual,no,lion:nonvisual:no:4
Is it grey?,lion,visual,no,lion:visual:no:1
Does it have long legs?,lion,visual,no,lion:visual:no:2
Does it have wings?,lion,visual,no,lion:visual:no:3
Is it yellow inside?,lion,visual,no,lion:visual:no:4
Does it have a long neck?,lion,visual,no,lion:visual:no:5
Is it a rodent?,mouse,nonvisual,yes,mouse:nonvisual:yes:1
Is it an animal?,mouse,nonvisual,yes,mouse:nonvisual:yes:2
Does it eat?,mouse,nonvisual,yes,mouse:nonvisual:yes:3
Is it used in experiments?,mouse,nonvisual,yes,mouse:nonvisual:yes:4
Does it eat cheese?,mouse,nonvisual,yes,mouse:nonvisual:yes:5
Does it have a tail?,mouse,visual,yes,mouse:visual:yes:1
Is it grey?,mouse,visual,yes,mouse:visual:yes:2
Does it have fur?,mouse,visual,yes,mouse:visual:yes:3
Does it have whiskers?,mouse,visual,yes,mouse:visual:yes:4
Is it a fruit?,mouse,nonvisual,no,mouse:nonvisual:no:1
Is it used for transportation?,mouse,nonvisual,no,mouse:nonvisual:no:2
Does it live in zoos?,mouse,nonvisual,no,mouse:nonvisual:no:3
Does it live on water?,mouse,nonvisual,no,mouse:nonvisual:no:4
Does it have gears?,mouse,visual,no,mouse:visual:no:1
Is it large?,mouse,visual,no,mouse:visual:no:2
Does it have stripes?,mouse,visual,no,mouse:visual:no:3
Does it have a white tail?,mouse,visual,yes,mouse:visual:yes:5
Is it a bird?,penguin,nonvisual,yes,penguin:nonvisual:yes:1
Is it unable to fly?,penguin,nonvisual,yes,penguin:nonvisual:yes:2
Does it live in the Arctic?,penguin,nonvisual,yes,penguin:nonvisual:yes:3
Does it lay eggs?,penguin,nonvisual,yes,penguin:nonvisual:yes:4
Does it waddle?,penguin,nonvisual,yes,penguin:nonvisual:yes:5
Is it black?,penguin,visual,yes,penguin:visual:yes:1
Does it have a beak?,penguin,visual,yes,penguin:visual:yes:2
Does it have feet?,penguin,visual,yes,penguin:visual:yes:3
Does it have wings?,penguin,visual,yes,penguin:visual:yes:4
Is it like a horse?,penguin,nonvisual,no,penguin:nonvisual:no:1
Is it breakable?,penguin,nonvisual,no,penguin:nonvisual:no:2
Is it an herbivore?,penguin,nonvisual,no,penguin:nonvisual:no:3
Does it like mud?,penguin,nonvisual,no,penguin:nonvisual:no:4
Does it eat grain?,penguin,nonvisual,no,penguin:nonvisual:no:5
Is it red?,penguin,visual,no,penguin:visual:no:1
Does it have a tail?,penguin,visual,no,penguin:visual:no:2
Does it have four legs?,penguin,visual,no,penguin:visual:no:3
Is it long?,penguin,visual,no,penguin:visual:no:4
Is it an animal?,pig,nonvisual,yes,pig:nonvisual:yes:1
Does it live on farms?,pig,nonvisual,yes,pig:nonvisual:yes:2
Is it eaten as bacon?,pig,nonvisual,yes,pig:nonvisual:yes:3
Is it smelly?,pig,nonvisual,yes,pig:nonvisual:yes:4
Does it like mud?,pig,nonvisual,yes,pig:nonvisual:yes:5
Is it pink?,pig,visual,yes,pig:visual:yes:1
Does it have a tail?,pig,visual,yes,pig:visual:yes:2
Does it have a snout?,pig,visual,yes,pig:visual:yes:3
Does it have legs?,pig,visual,yes,pig:visual:yes:4
Is it muddy?,pig,visual,yes,pig:visual:yes:5
Is it tropical?,pig,nonvisual,no,pig:nonvisual:no:1
Is it a bird?,pig,nonvisual,no,pig:nonvisual:no:2
Does it live in India?,pig,nonvisual,no,pig:nonvisual:no:3
Does it grow on trees?,pig,nonvisual,no,pig:nonvisual:no:4
Does it grow in Hawaii?,pig,nonvisual,no,pig:nonvisual:no:5
Is it made of glass?,pig,visual,no,pig:visual:no:1
Does it have wings?,pig,visual,no,pig:visual:no:2
Does it have whiskers?,pig,visual,no,pig:visual:no:3
Does it have feathers?,pig,visual,no,pig:visual:no:4
Does it have fur?,pig,visual,no,pig:visual:no:5
Is it juicy?,pineapple,nonvisual,yes,pineapple:nonvisual:yes:1
Is it tropical?,pineapple,nonvisual,yes,pineapple:nonvisual:yes:2
Does it grow on trees?,pineapple,nonvisual,yes,pineapple:nonvisual:yes:3
Does it grow in Hawaii?,pineapple,nonvisual,yes,pineapple:nonvisual:yes:4
Is it prickly?,pineapple,nonvisual,yes,pineapple:nonvisual:yes:5
Does it have an inside?,pineapple,visual,yes,pineapple:visual:yes:2
Does it have skin?,pineapple,visual,yes,pineapple:visual:yes:3
Is it yellow inside?,pineapple,visual,yes,pineapple:visual:yes:4
Does it have a core?,pineapple,visual,yes,pineapple:visual:yes:5
Is it an animal?,pineapple,nonvisual,no,pineapple:nonvisual:no:1
Is it clothing?,pineapple,nonvisual,no,pineapple:nonvisual:no:2
Is it a carnivore?,pineapple,nonvisual,no,pineapple:nonvisual:no:3
Is it used for racing?,pineapple,nonvisual,no,pineapple:nonvisual:no:4
Is it a pet?,pineapple,nonvisual,no,pineapple:nonvisual:no:5
Does it have legs?,pineapple,visual,no,pineapple:visual:no:1
Does it have a seat?,pineapple,visual,no,pineapple:visual:no:2
Does it have whiskers?,pineapple,visual,no,pineapple:visual:no:3
Does it have legs?,pineapple,visual,no,pineapple:visual:no:4
Does it have a tail?,pineapple,visual,no,pineapple:visual:no:5
Does it hop?,rabbit,nonvisual,yes,rabbit:nonvisual:yes:1
Is it a pet?,rabbit,nonvisual,yes,rabbit:nonvisual:yes:2
Is it edible?,rabbit,nonvisual,yes,rabbit:nonvisual:yes:3
Is it hunted by people?,rabbit,nonvisual,yes,rabbit:nonvisual:yes:4
Does it eat carrots?,rabbit,nonvisual,yes,rabbit:nonvisual:yes:5
Does it have ears?,rabbit,visual,yes,rabbit:visual:yes:1
Does it have feet?,rabbit,visual,yes,rabbit:visual:yes:2
Does it have whiskers?,rabbit,visual,yes,rabbit:visual:yes:3
Does it have a tail?,rabbit,visual,yes,rabbit:visual:yes:4
Does it live in zoos?,rabbit,nonvisual,no,rabbit:nonvisual:no:1
Does it make noises?,rabbit,nonvisual,yes,rabbit:nonvisual:yes:6
Does it roar?,rabbit,nonvisual,no,rabbit:nonvisual:no:3
Is it used for making jam?,rabbit,nonvisual,no,rabbit:nonvisual:no:4
Is it a fruit?,rabbit,nonvisual,no,rabbit:nonvisual:no:5
Does it have spots?,rabbit,visual,no,rabbit:visual:no:1
Is it made of metal?,rabbit,visual,no,rabbit:visual:no:2
Does it have a seat?,rabbit,visual,no,rabbit:visual:no:3
Is it flat?,rabbit,visual,no,rabbit:visual:no:4
Does it eat garbage?,raccoon,nonvisual,yes,raccoon:nonvisual:yes:1
Is it furry?,raccoon,nonvisual,yes,raccoon:nonvisual:yes:2
Is it nocturnal?,raccoon,nonvisual,yes,raccoon:nonvisual:yes:3
Does it produce offspring?,raccoon,nonvisual,yes,raccoon:nonvisual:yes:4
Is it black?,raccoon,visual,no,raccoon:visual:no:6
Does it have a tail?,raccoon,visual,yes,raccoon:visual:yes:2
Does it have eyes?,raccoon,visual,yes,raccoon:visual:yes:3
Does it have stripes?,raccoon,visual,yes,raccoon:visual:yes:4
Does it have a mask?,raccoon,visual,yes,raccoon:visual:yes:5
Does it hop?,raccoon,nonvisual,no,raccoon:nonvisual:no:1
Is it used for protection?,raccoon,nonvisual,no,raccoon:nonvisual:no:2
Is it used for holding beer?,raccoon,nonvisual,no,raccoon:nonvisual:no:3
Does it have a mane?,raccoon,visual,no,raccoon:visual:no:1
Does it have seeds?,raccoon,visual,no,raccoon:visual:no:2
Does it have green leaves?,raccoon,visual,no,raccoon:visual:no:3
Does it have a long neck?,raccoon,visual,no,raccoon:visual:no:4
Does it have a beak?,raccoon,visual,no,raccoon:visual:no:5
Is it a fruit?,strawberry,nonvisual,yes,strawberry:nonvisual:yes:1
Does it taste sweet?,strawberry,nonvisual,yes,strawberry:nonvisual:yes:2
Is it used for making jam?,strawberry,nonvisual,yes,strawberry:nonvisual:yes:3
Does it taste good?,strawberry,nonvisual,yes,strawberry:nonvisual:yes:4
Is it red?,strawberry,visual,yes,strawberry:visual:yes:1
Does it have seeds?,strawberry,visual,yes,strawberry:visual:yes:2
Does it have green leaves?,strawberry,visual,yes,strawberry:visual:yes:3
Is it small?,strawberry,visual,yes,strawberry:visual:yes:4
Is is used for riding?,strawberry,nonvisual,no,strawberry:nonvisual:no:1
Is it an insect?,strawberry,nonvisual,no,strawberry:nonvisual:no:2
Is it furniture?,strawberry,nonvisual,no,strawberry:nonvisual:no:3
Does it eat?,strawberry,nonvisual,no,strawberry:nonvisual:no:4
Does it have four legs?,strawberry,visual,no,strawberry:visual:no:1
Does it have a tail?,strawberry,visual,no,strawberry:visual:no:2
Does it have a mane?,strawberry,visual,no,strawberry:visual:no:3
Does it have ears?,strawberry,visual,no,strawberry:visual:no:4
